Date,Region,Category,Product,Quantity,Price,Discount,Sales,Profit,CustomerAge,Rating,Month,Quarter,ProfitMargin,AgeGroup
2023-03-08,West,Home & Kitchen,Blender,15,213.75,0.1,2885.62,185.96,68.0,2.0,March,Q1,6.44,51-70
2023-12-19,West,Clothing,Shoes,5,86.21,0.05,409.5,33.28,43.0,3.0,December,Q4,8.13,36-50
2024-03-09,North,Home & Kitchen,Toaster,11,113.36,0.1,997.57,152.58,40.0,5.0,March,Q1,15.3,36-50
2023-08-10,West,Food & Beverages,Coffee,10,13.03,0.1,130.3,12.01,54.0,5.0,August,Q3,9.22,51-70
2024-05-01,South,Sports,Yoga Mat,6,81.2,0.1,438.48,48.66,43.0,4.0,May,Q2,11.1,36-50
2024-05-14,West,Home & Kitchen,Toaster,19,178.2,0.1,3047.22,304.07,62.0,2.0,May,Q2,9.98,51-70
2023-03-16,West,Food & Beverages,Snacks,2,9.18,0.1,16.52,3.32,43.0,4.0,March,Q1,20.1,36-50
2024-03-02,East,Home & Kitchen,Cookware Set,4,145.08,0.15,493.27,83.14,30.0,4.0,March,Q1,16.85,26-35
2023-02-03,West,Sports,Tennis Racket,14,135.77,0.2,1520.62,483.09,39.0,3.0,February,Q1,31.77,36-50
2024-04-21,Central,Sports,Dumbbells,15,52.04,0.05,741.57,225.2,52.0,1.0,April,Q2,30.37,51-70
2024-01-19,North,Food & Beverages,Tea,13,15.23,0.2,158.39,39.66,57.0,4.0,January,Q1,25.04,51-70
2024-05-03,East,Home & Kitchen,Toaster,3,131.71,0.15,335.86,64.27,40.0,5.0,May,Q2,19.14,36-50
2024-02-07,North,Clothing,Shoes,3,69.51,0.1,187.68,23.99,49.0,4.0,February,Q1,12.78,36-50
2023-09-12,North,Food & Beverages,Tea,18,25.48,0.15,389.84,65.64,63.0,3.0,September,Q3,16.84,51-70
2023-01-07,Central,Sports,Yoga Mat,10,143.51,0.15,1219.83,174.88,41.0,4.0,January,Q1,14.34,36-50
2023-10-11,East,Clothing,T-Shirt,19,38.92,0.15,628.56,90.7,43.0,4.0,October,Q4,14.43,36-50
2023-10-26,Central,Home & Kitchen,Vacuum,9,206.55,0.15,1580.11,229.16,23.0,5.0,October,Q4,14.5,18-25
2023-03-04,Central,Clothing,Dress,4,76.53,0.2,244.9,67.26,38.0,4.0,March,Q1,27.46,36-50
2023-05-25,Central,Clothing,Dress,3,35.13,0.0,105.39,22.55,46.0,3.0,May,Q2,21.4,36-50
2024-03-11,West,Food & Beverages,Snacks,9,19.37,0.1,738.06,31.1,24.0,3.0,March,Q1,4.21,18-25
2024-03-16,East,Clothing,Dress,3,38.55,0.1,104.08,24.05,62.0,3.0,March,Q1,23.11,51-70
2023-10-03,East,Clothing,T-Shirt,18,53.89,0.05,921.52,140.18,28.0,3.0,October,Q4,15.21,26-35
2024-01-08,Central,Clothing,Jacket,6,40.83,0.05,232.73,20.82,34.0,2.0,January,Q1,8.95,26-35
2023-08-17,South,Sports,Dumbbells,2,76.89,0.1,138.4,42.77,38.0,3.0,August,Q3,30.9,36-50
2024-04-22,South,Food & Beverages,Snacks,10,14.17,0.15,120.44,23.2,65.0,4.0,April,Q2,19.26,51-70
2023-05-01,North,Food & Beverages,Coffee,15,16.75,0.15,213.56,15.31,37.0,5.0,May,Q2,7.17,36-50
2024-02-13,Central,Home & Kitchen,Vacuum,6,114.21,0.2,548.21,100.93,42.0,5.0,February,Q1,18.41,36-50
2024-03-29,North,Clothing,Shoes,8,68.04,0.2,435.46,140.18,34.0,3.0,March,Q1,32.19,26-35
2023-06-20,Central,Sports,Yoga Mat,10,72.94,0.2,583.52,84.14,30.0,3.0,June,Q2,14.42,26-35
2023-07-10,North,Food & Beverages,Coffee,5,20.75,0.05,98.56,32.67,23.0,4.0,July,Q3,33.15,18-25
2024-01-18,North,Food & Beverages,Juice,10,15.83,0.05,150.38,20.7,55.0,4.0,January,Q1,13.77,51-70
2023-05-26,South,Food & Beverages,Juice,12,26.52,0.05,302.33,59.77,36.0,3.0,May,Q2,19.77,36-50
2023-08-13,West,Sports,Tennis Racket,2,106.34,0.05,202.05,20.22,46.0,1.0,August,Q3,10.01,36-50
2024-04-23,East,Home & Kitchen,Cookware Set,2,214.08,0.0,428.16,147.16,44.0,3.0,April,Q2,34.37,36-50
2023-07-23,North,Food & Beverages,Juice,18,21.64,0.05,370.04,32.15,25.0,4.0,July,Q3,8.69,18-25
2024-02-14,North,Sports,Tennis Racket,12,105.16,0.15,1072.63,212.66,55.0,3.0,February,Q1,19.83,51-70
2023-04-04,Central,Clothing,Jacket,16,39.82,0.1,573.41,140.18,43.0,2.0,April,Q2,24.45,36-50
2024-02-27,East,Food & Beverages,Coffee,16,16.01,0.0,256.16,81.4,60.0,4.0,February,Q1,31.78,51-70
2023-07-31,South,Clothing,Shoes,3,40.68,0.15,103.73,22.02,29.0,1.0,July,Q3,21.23,26-35
2023-10-31,Central,Electronics,Smartwatch,6,313.27,0.2,1503.7,420.07,56.0,1.0,October,Q4,27.94,51-70
2024-02-16,East,Electronics,Tablet,12,311.83,0.15,3180.67,361.94,43.0,4.0,February,Q1,11.38,36-50
2023-06-05,Central,Clothing,Jeans,10,59.5,0.05,565.25,116.88,43.0,4.0,June,Q2,20.68,36-50
2024-03-18,West,Clothing,T-Shirt,5,30.79,0.2,123.16,37.87,19.0,3.0,March,Q1,30.75,18-25
2023-04-15,South,Food & Beverages,Juice,14,23.23,0.1,292.7,80.6,55.0,4.0,April,Q2,27.54,51-70
2023-01-19,South,Clothing,Shoes,8,71.3,0.05,541.88,72.09,43.0,4.0,January,Q1,13.3,36-50
2024-03-27,South,Home & Kitchen,Vacuum,1,76.68,0.05,72.85,5.34,48.0,4.0,March,Q1,7.33,36-50
2024-02-29,East,Electronics,Tablet,13,306.97,0.15,3392.02,243.79,37.0,4.0,February,Q1,7.19,36-50
2024-02-04,West,Food & Beverages,Snacks,6,19.92,0.2,95.62,9.31,45.0,3.0,February,Q1,9.74,36-50
2024-02-24,South,Home & Kitchen,Blender,9,166.86,0.1,1351.57,445.38,18.0,4.0,February,Q1,32.95,18-25
2024-03-03,Central,Clothing,Jeans,10,77.85,0.2,622.8,179.59,59.0,4.0,March,Q1,28.84,51-70
2023-10-22,South,Sports,Bicycle,1,133.88,0.1,120.49,25.57,52.0,5.0,October,Q4,21.22,51-70
2023-08-04,South,Clothing,Jeans,4,45.59,0.1,155.01,50.04,57.0,4.0,August,Q3,32.28,51-70
2023-01-09,East,Home & Kitchen,Air Fryer,2,88.96,0.05,738.06,17.85,55.0,2.0,January,Q1,2.42,51-70
2023-02-24,North,Sports,Tennis Racket,10,64.69,0.1,582.21,147.38,27.0,2.0,February,Q1,25.31,26-35
2023-07-16,South,Electronics,Smartwatch,1,806.73,0.15,738.06,203.22,29.0,4.0,July,Q3,27.53,26-35
2023-10-12,West,Sports,Dumbbells,10,65.47,0.05,621.96,149.42,27.0,3.0,October,Q4,24.02,26-35
2023-08-28,South,Clothing,T-Shirt,5,42.39,0.15,180.16,62.81,49.0,2.0,August,Q3,34.86,36-50
2023-05-15,North,Sports,Running Shoes,7,65.9,0.1,415.17,40.0,67.0,1.0,May,Q2,9.63,51-70
2023-05-30,West,Home & Kitchen,Air Fryer,2,73.87,0.2,738.06,36.56,57.0,5.0,May,Q2,4.95,51-70
2023-02-27,West,Sports,Running Shoes,14,73.73,0.05,980.61,270.83,44.0,4.0,February,Q1,27.62,36-50
2024-02-18,East,Clothing,Jacket,5,76.03,0.15,323.13,27.84,47.0,3.0,February,Q1,8.62,36-50
2023-04-22,East,Food & Beverages,Juice,14,26.43,0.0,370.02,140.18,25.0,3.0,April,Q2,37.88,18-25
2024-01-20,North,Food & Beverages,Protein Bar,11,22.38,0.0,246.18,140.18,59.0,5.0,January,Q1,56.94,51-70
2023-07-13,Central,Food & Beverages,Protein Bar,12,19.81,0.05,225.83,19.08,20.0,5.0,July,Q3,8.45,18-25
2023-11-12,North,Food & Beverages,Juice,6,16.37,0.0,98.22,5.17,45.0,4.0,November,Q4,5.26,36-50
2023-04-28,Central,Sports,Bicycle,13,113.29,0.15,1251.85,272.04,41.0,4.0,April,Q2,21.73,36-50
2023-09-26,South,Home & Kitchen,Cookware Set,3,75.51,0.05,215.2,140.18,61.0,4.0,September,Q3,65.14,51-70
2023-10-21,East,Food & Beverages,Snacks,16,21.51,0.2,275.33,90.52,18.0,5.0,October,Q4,32.88,18-25
2024-02-01,North,Clothing,T-Shirt,16,46.02,0.1,589.06,176.77,28.0,4.0,February,Q1,30.01,26-35
2023-06-29,North,Electronics,Smartwatch,7,422.99,0.05,2812.88,234.3,23.0,4.0,June,Q2,8.33,18-25
2024-04-05,North,Home & Kitchen,Blender,1,187.12,0.15,159.05,140.18,35.0,4.0,April,Q2,88.14,26-35
2023-02-11,East,Clothing,Shoes,12,83.88,0.15,855.58,225.53,20.0,4.0,February,Q1,26.36,18-25
2023-03-05,North,Home & Kitchen,Toaster,5,85.19,0.05,404.65,20.9,38.0,4.0,March,Q1,5.16,36-50
2024-02-26,West,Clothing,Dress,19,59.75,0.15,964.96,222.79,53.0,5.0,February,Q1,23.09,51-70
2023-12-31,West,Home & Kitchen,Toaster,7,191.36,0.1,1071.62,258.18,37.0,5.0,December,Q4,24.09,36-50
2023-09-27,South,Sports,Running Shoes,11,136.56,0.1,1427.05,412.95,36.0,5.0,September,Q3,28.94,36-50
2023-08-22,Central,Food & Beverages,Tea,13,13.38,0.05,165.24,140.18,52.0,5.0,August,Q3,84.83,51-70
2023-07-14,West,Home & Kitchen,Blender,15,139.31,0.15,1776.2,258.72,43.0,3.0,July,Q3,14.57,36-50
2024-02-19,South,Sports,Tennis Racket,14,86.1,0.2,964.32,254.76,42.0,5.0,February,Q1,26.42,36-50
2024-03-14,North,Sports,Yoga Mat,3,94.91,0.1,270.49,91.1,42.0,1.0,March,Q1,33.68,36-50
2023-02-14,North,Home & Kitchen,Cookware Set,4,207.75,0.1,706.35,181.19,59.0,4.0,February,Q1,25.65,51-70
2023-10-18,South,Food & Beverages,Coffee,19,16.7,0.2,253.84,63.94,54.0,4.0,October,Q4,25.19,51-70
2023-08-15,Central,Home & Kitchen,Blender,18,78.59,0.2,1131.7,187.82,43.0,4.0,August,Q3,16.6,36-50
2024-01-30,Central,Home & Kitchen,Blender,7,94.84,0.05,630.69,57.87,65.0,2.0,January,Q1,9.18,51-70
2023-03-28,South,Food & Beverages,Coffee,15,15.15,0.2,181.8,24.36,28.0,2.0,March,Q1,13.4,26-35
2024-01-06,East,Clothing,T-Shirt,15,62.22,0.1,839.97,164.36,57.0,3.0,January,Q1,19.57,51-70
2023-03-13,North,Home & Kitchen,Air Fryer,12,149.38,0.1,1613.3,282.86,33.0,4.0,March,Q1,17.53,26-35
2023-09-04,East,Home & Kitchen,Toaster,1,215.55,0.05,204.77,38.45,49.0,4.0,September,Q3,18.78,36-50
2023-08-31,West,Food & Beverages,Juice,2,12.98,0.05,24.66,3.79,57.0,3.0,August,Q3,15.37,51-70
2023-12-15,East,Sports,Running Shoes,3,58.07,0.0,174.21,20.52,25.0,3.0,December,Q4,11.78,18-25
2023-04-26,Central,Home & Kitchen,Toaster,12,142.19,0.2,1365.02,356.41,44.0,4.0,April,Q2,26.11,36-50
