Date,Region,Category,Product,Quantity,Price,Discount,Sales,Profit,CustomerAge,Rating
2023-05-03,West,Home & Kitchen,Vacuum,15,84.29,,75000.0,318.64,35.0,3.0
2023-03-07,East,Electronics,Headphones,19,824.33,0.2,12529.82,,,5.0
2023-03-08,West,Home & Kitchen,Blender,15,213.75,0.1,2885.62,185.96,68.0,2.0
2023-01-31,East,Electronics,Smartphone,13,712.73,0.2,7412.39,2552.06,43.0,4.0
2023-12-19,West,Clothing,Shoes,5,86.21,0.05,409.5,33.28,,3.0
2024-03-09,North,Home & Kitchen,Toaster,11,113.36,,997.57,152.58,40.0,5.0
2023-08-10,West,Food & Beverages,Coffee,10,13.03,,130.3,12.01,54.0,5.0
2024-05-01,South,Sports,Yoga Mat,6,81.2,0.1,438.48,48.66,,4.0
2024-05-14,West,Home & Kitchen,Toaster,19,178.2,0.1,3047.22,304.07,62.0,2.0
2023-03-16,West,Food & Beverages,Snacks,2,9.18,0.1,16.52,3.32,43.0,4.0
2023-02-12,East,Electronics,Tablet,12,767.75,0.0,9213.0,,24.0,5.0
2024-03-02,East,Home & Kitchen,Cookware Set,4,145.08,0.15,493.27,83.14,30.0,4.0
2023-02-03,West,Sports,Tennis Racket,14,135.77,0.2,1520.62,483.09,39.0,3.0
2024-04-21,Central,Sports,Dumbbells,15,52.04,0.05,741.57,225.2,52.0,1.0
2024-01-19,North,Food & Beverages,Tea,13,15.23,0.2,158.39,39.66,57.0,4.0
2024-05-03,East,Home & Kitchen,Toaster,3,131.71,0.15,335.86,64.27,40.0,5.0
2024-02-07,North,Clothing,Shoes,3,69.51,0.1,187.68,23.99,49.0,4.0
2023-05-02,Central,Electronics,Laptop,15,322.2,0.05,4591.35,300.0,,3.0
2023-09-12,North,Food & Beverages,Tea,18,25.48,0.15,389.84,65.64,63.0,3.0
2023-01-07,Central,Sports,Yoga Mat,10,143.51,0.15,1219.83,174.88,41.0,4.0
2023-10-11,East,Clothing,T-Shirt,19,38.92,0.15,628.56,90.7,,4.0
2023-10-26,Central,Home & Kitchen,Vacuum,9,206.55,0.15,1580.11,229.16,23.0,5.0
2023-03-04,Central,Clothing,Dress,4,76.53,0.2,244.9,67.26,38.0,4.0
2023-05-25,Central,Clothing,Dress,3,35.13,0.0,105.39,22.55,46.0,3.0
2024-03-11,West,Food & Beverages,Snacks,9,19.37,,,31.1,24.0,3.0
2024-03-16,East,Clothing,Dress,3,38.55,0.1,104.08,24.05,62.0,3.0
2023-10-03,East,Clothing,T-Shirt,18,53.89,0.05,921.52,,28.0,3.0
2024-01-08,Central,Clothing,Jacket,6,40.83,0.05,232.73,20.82,34.0,2.0
2023-08-17,South,Sports,Dumbbells,2,76.89,0.1,138.4,42.77,38.0,3.0
2024-04-22,South,Food & Beverages,Snacks,10,14.17,0.15,120.44,23.2,65.0,4.0
2024-02-23,Central,Electronics,Headphones,15,428.96,0.2,,1010.46,45.0,4.0
2023-05-01,North,Food & Beverages,Coffee,15,16.75,0.15,213.56,15.31,37.0,5.0
